category,p_r_match
motorcycle,0.5
airplanes,0
gambling,0.2
school,0.4
surfing,1.0
dance,0.6
country_music,0
crime,0.2
drugs,0.2
motoring,0.5
bicycle,1.0
business,0
pets,0.1
tennis,1.0
skiing,0
fashion,0.1
theater,0.2
water_sports,0.5
cars,1.0
radio,0.3
hinduism,0
science,0.1
arts,0.4
legal,0.1
mafia,0.5
outdoor,0
music,0.4
education,0.4
military,0.1
weather,0.5
judaism,0.5
psychology,0.1
travel,0
horseracing,0
pop--rock,0.2
ships,0.3
showbiz,0
disability,0.1
aliens,0.4
religion,0.1
cookery,0
outer_space,0
terrorism,0.5
islam,0.6
animals,0.1
baseball,0.6
swimming,0.3
racism,0.1
history,0.1
political,0.3
cinema,0
mythology,0
football,0.5
soccer,0
sport,0.5
comic-book,0
infants,0
olympic_games,0
golf,0.7
wrestling,1.0
classical_music,0
jazz,0.3
college--university,0.4
prison,0.4
nature,0.2
technology,0.2
christianity,0.3
hockey,0.7
opera,0.6
journalism,0
literature,0
communism,1.0
basketball,0.7
traditions,0.2
medicine,0.1
boxing,0.5
war,0.5
buddhism,0
hip_hop,0
fraud,0.2
martial-arts,0
christmas,0.7
